dates;A
03.05.2007;7.06438431795822e-05
04.05.2007;5.92164076734828e-05
07.05.2007;4.7158836000472e-05
08.05.2007;6.33042480059384e-05
09.05.2007;7.89904990289812e-05
10.05.2007;9.89601599339884e-05
11.05.2007;0.000163842294291649
14.05.2007;0.000160142765521135
15.05.2007;0.000595573834345569
16.05.2007;0.000106886287209835
17.05.2007;0.000144582630373072
18.05.2007;8.76841383169113e-05
21.05.2007;0.000111303443943524
22.05.2007;0.000113759972460079
23.05.2007;8.06711995434481e-05
24.05.2007;0.000909367342063996
25.05.2007;9.62592310465819e-05
29.05.2007;8.66857585143216e-05
30.05.2007;9.37912874499563e-05
31.05.2007;5.63480850007399e-05
01.06.2007;5.65775603168772e-05
04.06.2007;9.50717084599934e-05
05.06.2007;7.67372115813728e-05
06.06.2007;5.94339541763719e-05
07.06.2007;0.000230114180064058
08.06.2007;9.21452733108713e-05
11.06.2007;8.75054934442672e-05
12.06.2007;0.000161877320013503
13.06.2007;0.000118820541483202
14.06.2007;4.94964165250428e-05
15.06.2007;7.61761152230077e-05
18.06.2007;8.11401281220079e-05
19.06.2007;0.000117743770681612
20.06.2007;0.000100472147827251
21.06.2007;0.000266639559133933
22.06.2007;0.000200040672176905
25.06.2007;0.000135999254152504
26.06.2007;0.000214714541948597
27.06.2007;9.76694981171159e-05
28.06.2007;0.000133222532055092
29.06.2007;0.00013199175657165
02.07.2007;0.000144328954492267
05.07.2007;7.76377095489151e-05
06.07.2007;7.62449729973078e-05
09.07.2007;2.91312555166716e-05
10.07.2007;8.48329756520435e-05
11.07.2007;6.29386291450434e-05
12.07.2007;9.96709660431456e-05
13.07.2007;6.16908879991712e-05
16.07.2007;7.55137906692579e-05
17.07.2007;7.51558209367369e-05
18.07.2007;0.000153450157681311
19.07.2007;7.36127071125063e-05
20.07.2007;0.000115596441912115
23.07.2007;0.000160053089604757
24.07.2007;0.000353919038999674
25.07.2007;0.000279469749063245
26.07.2007;0.000730728497505029
27.07.2007;0.000225122365096446
30.07.2007;0.000208610141048724
31.07.2007;0.000181672909097208
01.08.2007;0.000322342320502266
02.08.2007;0.000471841106491161
03.08.2007;0.000179449839578434
06.08.2007;0.000341948387715886
07.08.2007;0.000359541670323358
08.08.2007;0.000243788029348725
09.08.2007;0.00167683370013045
10.08.2007;0.00117572508916307
13.08.2007;0.000536180750337397
14.08.2007;0.00125992089001638
15.08.2007;0.00107116689462958
16.08.2007;0.000805015942970559
17.08.2007;0.00256764526755256
20.08.2007;0.000185737423697811
21.08.2007;0.000385897988115181
22.08.2007;0.000172281651329048
23.08.2007;0.000205535002737814
24.08.2007;5.82936531551565e-05
27.08.2007;0.00010331225252176
28.08.2007;0.000157636553638706
29.08.2007;0.000125942062974442
30.08.2007;0.000136386497570271
31.08.2007;7.5805806418941e-05
04.09.2007;6.15429295951513e-05
05.09.2007;0.000112829581134129
06.09.2007;0.000136682566237973
07.09.2007;0.000165511585049309
10.09.2007;0.000196438370858747
11.09.2007;5.28378695613594e-05
12.09.2007;8.13242406807361e-05
13.09.2007;6.72546683683676e-05
14.09.2007;9.9334522566065e-05
17.09.2007;0.000114803650225795
18.09.2007;0.000197728220150033
19.09.2007;6.09773895870015e-05
20.09.2007;6.76677608791339e-05
21.09.2007;8.90820261536587e-05
24.09.2007;0.000150006690697901
25.09.2007;0.000160261048776876
26.09.2007;5.9777124215133e-05
27.09.2007;5.00345912158298e-05
28.09.2007;0.000100837590376716
01.10.2007;8.39029093324986e-05
02.10.2007;5.19207177803829e-05
03.10.2007;2.87892666784363e-05
04.10.2007;3.07951287680334e-05
05.10.2007;5.43809129052006e-05
08.10.2007;2.62965705228946e-05
09.10.2007;4.57702767793823e-05
10.10.2007;5.60705753152866e-05
11.10.2007;0.000175865244050311
12.10.2007;0.000127404653696158
15.10.2007;0.00019798345920008
